Symbol,Name,Latest,Change,%Change,Volume,"3M #Hi","3M %/High","3M %/Low",Time
VMI,"Valmont Industries",522.47,4.2900000000001,+0.83%,104917,9,-1.30%,+37.53%,"15:29 ET"
VNCE,"Vince Holding Corp",4.9,-0.67,-12.03%,470791,14,-17.29%,+150.26%,"15:14 ET"
VOYA,"VOYA Financial Inc",80.14,-2.97,-3.57%,1025117,9,-5.11%,+23.58%,"15:29 ET"
VPG,"Vishay Precision Group",63.42,-0.53,-0.83%,192226,9,-3.50%,+61.93%,"15:28 ET"
VRCA,"Verrica Pharmaceuticals Inc",8.17,1.01,+14.11%,333171,3,-3.37%,+88.93%,"15:27 ET"
VRT,"Vertiv Holdings Llc.",358,16.98,+4.98%,3967843,21,-0.74%,+81.19%,"15:29 ET"
VSAT,"Viasat Inc",66.58,1.01,+1.54%,620330,19,-1.62%,+59.31%,"15:29 ET"
VSH,"Vishay Intertechnology",33.53,1.44,+4.49%,3945468,21,-2.34%,+114.16%,"15:29 ET"
WAT,"Waters Corp",348.32,5.57,+1.63%,1102934,4,-2.10%,+22.40%,"15:29 ET"
WCC,"Wesco International",360.45,9.86,+2.81%,470120,6,-0.73%,+47.85%,"15:28 ET"
WILC,"G Willi-Food Intl",35.01,2.31,+7.06%,5932,8,0.00%,+47.04%,2026-05-06
WKEY,"Wisekey International Holding Ltd ADR",8.17,1.11,+15.72%,386028,6,-2.17%,+52.25%,"15:13 ET"
WLFC,"Willis Lease Fin C",235.08,5.99,+2.61%,74172,8,-2.48%,+45.66%,"15:20 ET"
WMK,"Weis Markets",72.33,2.78,+4.00%,144356,5,-5.14%,+20.19%,"15:29 ET"
WOLF,"Wolfspeed Inc",42.33,5.7,+15.56%,12923841,18,-1.98%,+191.63%,"15:29 ET"
WSFS,"WSFS Financial Corp",72.04,0.19000000000001,+0.26%,166985,5,-1.70%,+18.66%,"15:29 ET"
WSR,"Whitestone REIT",18.98,0.030000000000001,+0.16%,496953,22,-0.18%,+29.79%,"15:27 ET"
WT,"Wisdomtree Inc",18.79,0.55,+3.02%,3480545,14,-1.49%,+42.88%,"15:27 ET"
WTTR,"Select Water Solutions Inc",17.61,0.36,+2.09%,2176617,16,-1.17%,+45.57%,"15:29 ET"
WULF,"Terawulf Inc",25.49,2,+8.51%,36179005,14,-1.50%,+93.97%,"15:29 ET"
WYFI,"Whitefiber Inc",21.37,1.81,+9.25%,1278499,3,-0.23%,+102.00%,"15:29 ET"
XELB,"XCEL Brands",2.39,0.06,+2.58%,12781,15,0.00%,+94.29%,"15:14 ET"
XIFR,"Xplr Infrastructure LP",11.35,0.54,+5.00%,1645851,4,-2.03%,+17.79%,"15:28 ET"
YOU,"Clear Secure Inc Cl A",59.21,0.44,+0.75%,2155531,12,-2.32%,+87.49%,"15:29 ET"
ZGN,"Ermenegildo Zegna N.V.",13,0.88,+7.26%,825456,10,0.00%,+41.84%,"15:28 ET"
ZIP,"Ziprecruiter Inc Cl A",3.1,-0.08,-2.52%,588254,12,-3.12%,+88.18%,"15:29 ET"
ZJK,"Zjk Industrial Co. Ltd",3.0301,0.0401,+1.34%,319111,6,-17.03%,+111.71%,"15:08 ET"
"Downloaded from Barchart.com as of 05-06-2026 02:29pm CDT"
