Symbol,Name,Latest,Change,%Change,Volume,"3M #Lo","3M %/High","3M %/Low",Time
RGNT,"Regentis Biomaterials Ltd",2.37,-0.08,-3.27%,25657,19,-54.60%,+7.24%,2026-05-06
RIME,"Algorhythm Holdings Inc",0.78,-0.097,-11.06%,1754200,5,-82.97%,+20.00%,2026-05-06
RLI,"Rli Corp",49.01,-1.08,-2.16%,948134,22,-22.95%,+0.16%,2026-05-06
RMTI,"Rockwell Medical IN",0.81,-0.0503,-5.85%,862100,18,-27.68%,+2.79%,2026-05-06
RNAZ,"Transcode Therapeutics Inc",7.52,-0.34,-4.33%,8600,10,-32.13%,+0.13%,2026-05-06
RSG,"Republic Services",199.69,-4.19,-2.06%,2386953,9,-14.45%,+0.07%,2026-05-06
RVLV,"Revolve Group Inc",20.19,-3.25,-13.87%,2896681,9,-28.96%,+3.49%,2026-05-06
SAM,"Boston Beer Company",206.36,0.11000000000001,+0.05%,310971,9,-21.97%,+0.66%,2026-05-06
SBC,"Sbc Medical Group Holdings Inc",3.22,0.02,+0.62%,107800,24,-32.78%,+1.90%,2026-05-06
SHOP,"Shopify Inc",105.44,-2.19,-2.03%,24630500,4,-24.20%,+1.12%,2026-05-06
SJT,"San Juan Basin Royalty Trust",4.16,-0.13,-3.03%,145839,24,-27.65%,+1.22%,2026-05-06
SLGB,"Smart Logistics Global Limited",0.5069,-0.0785,-13.41%,104000,21,-70.70%,+1.16%,2026-05-06
SLRC,"Slr Investment Corp",13.95,-2.02,-12.65%,2385700,12,-14.73%,+2.50%,2026-05-06
SMRT,"Smartrent Inc",1.17,-0.26,-18.18%,4261211,16,-38.42%,+6.36%,2026-05-06
SNN,"Smith & Nephew Snats ADR",30.26,-1.05,-3.35%,3610894,13,-18.41%,+1.34%,2026-05-06
SNT,"Senstar Technologies Ltd",2.73,-0.01,-0.36%,20900,20,-38.51%,+3.41%,2026-05-06
SOWG,"Sow Good Inc",1.13,-0.255,-18.41%,340000,19,-88.21%,0.00%,2026-05-06
SYK,"Stryker Corp",292.33,-2.92,-0.99%,3033372,12,-24.91%,+0.83%,2026-05-06
TC,"Token Cat Limited ADR",9.25,-0.25,-2.63%,1700,18,-28.85%,0.00%,2026-05-06
TCX,"Tucows Inc Cl A",15.06,-0.33,-2.14%,23400,14,-29.30%,+0.60%,2026-05-06
TECH,"Bio-Techne Corp",47.4,-9.28,-16.37%,11948400,14,-28.73%,+5.05%,2026-05-06
TGE,"The Generation Essentials Group Cl A",1.02,-0.02,-1.92%,28531,8,-36.25%,0.00%,2026-05-06
TKLF,"Tokyo Lifestyle Ltd ADR",2.1,-0.15,-6.67%,16600,9,-34.17%,+7.97%,2026-05-06
TMDX,"Transmedics Group Inc",72.92,-22.01,-23.19%,7735200,14,-51.71%,+4.17%,2026-05-06
TRNR,"Interactive Strength Inc",0.9599,-0.0201,-2.05%,83200,13,-87.37%,+2.53%,2026-05-06
UBXG,"U-Bx Technology Ltd",0.376,-0.0246,-6.14%,11043700,16,-88.74%,+10.59%,2026-05-06
UCL,"Ucloudlink Group Inc ADR",1.15,-0.05,-4.17%,7700,17,-36.81%,+2.68%,2026-05-06
UPWK,"Upwork Inc",10.08,-0.23,-2.23%,5110500,18,-48.20%,+0.60%,2026-05-06
